"GeneID";"Biotype";"Length";"Chromosome";"Location";"Exons";"Organism"
"Gene_000001";"rRNA";18147;4;"564139-588258";17;"Homo sapiens"
"Gene_000002";"snRNA";28939;4;"859208-901335";3;"Mus musculus"
"Gene_000003";"lncRNA";18213;5;"650289-677611";15;"Homo sapiens"
"Gene_000004";"lncRNA";37791;2;"596839-603912";12;"Mus musculus"
"Gene_000005";"lncRNA";24490;3;"850206-857307";14;"Mus musculus"
"Gene_000006";"tRNA";47059;4;"542248-561194";14;"Mus musculus"
"Gene_000007";"protein_coding";48979;5;"675359-708090";20;"Homo sapiens"
"Gene_000008";"tRNA";19266;1;"294180-344115";12;"Sus scrofa"
"Gene_000009";"tRNA";46554;5;"59846-68159";7;"Sus scrofa"
"Gene_000010";"rRNA";43088;5;"517645-522803";20;"Mus musculus"
"Gene_000011";"lncRNA";3480;4;"323573-326627";9;"Bos taurus"
"Gene_000012";"rRNA";42544;5;"574658-605488";11;"Homo sapiens"
"Gene_000013";"snRNA";7058;3;"534960-541805";9;"Sus scrofa"
"Gene_000014";"lncRNA";27788;1;"561700-595186";11;"Homo sapiens"
"Gene_000015";"tRNA";28652;3;"405352-407460";3;"Mus musculus"
"Gene_000016";"snRNA";30605;1;"339238-383713";5;"Bos taurus"
"Gene_000017";"rRNA";9488;1;"762441-795785";11;"Bos taurus"
"Gene_000018";"tRNA";35425;4;"814585-829611";9;"Bos taurus"
"Gene_000019";"protein_coding";43719;3;"651252-655192";9;"Homo sapiens"
"Gene_000020";"tRNA";46893;3;"955077-971555";1;"Sus scrofa"
"Gene_000021";"rRNA";47363;3;"234516-278871";15;"Mus musculus"
"Gene_000022";"protein_coding";32080;1;"481144-496078";10;"Homo sapiens"
"Gene_000023";"tRNA";40484;2;"750262-785093";17;"Bos taurus"
"Gene_000024";"snRNA";29589;1;"358350-389876";1;"Mus musculus"
"Gene_000025";"lncRNA";13993;2;"973122-1018686";19;"Bos taurus"
"Gene_000026";"rRNA";35948;1;"127163-140324";6;"Mus musculus"
