Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
globin domain-containing protein [Flexithrix dorotheae],Flexithrix dorotheae,NA,70993,68.9,68.9,91%,3e-12,30.22,134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020528821.1?report=genbank&log$=prottop&blast_rank=1&RID=V5JEEYS7016"",""WP_020528821.1"")"
globin family protein [Caenimonas aquaedulcis],Caenimonas aquaedulcis,NA,2793270,67.4,67.4,90%,1e-11,29.93,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_196988262.1?report=genbank&log$=prottop&blast_rank=2&RID=V5JEEYS7016"",""WP_196988262.1"")"
globin domain-containing protein [Paraflavitalea soli],Paraflavitalea soli,NA,2315862,66.6,66.6,91%,2e-11,34.97,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119050539.1?report=genbank&log$=prottop&blast_rank=3&RID=V5JEEYS7016"",""WP_119050539.1"")"
globin domain-containing protein [Lacibacter aquaticus],Lacibacter aquaticus,NA,3133424,64.3,64.3,80%,2e-10,33.06,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_340435669.1?report=genbank&log$=prottop&blast_rank=4&RID=V5JEEYS7016"",""WP_340435669.1"")"
globin domain-containing protein [Lacibacter sediminis],Lacibacter sediminis,NA,2760713,64.3,64.3,90%,2e-10,31.88,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_182804186.1?report=genbank&log$=prottop&blast_rank=5&RID=V5JEEYS7016"",""WP_182804186.1"")"
globin family protein [Shewanella amazonensis],Shewanella amazonensis,NA,60478,63.2,63.2,99%,5e-10,26.67,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_011761584.1?report=genbank&log$=prottop&blast_rank=6&RID=V5JEEYS7016"",""WP_011761584.1"")"
globin family protein [Chryseolinea serpens],Chryseolinea serpens,NA,947013,62.8,62.8,95%,7e-10,28.47,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073136819.1?report=genbank&log$=prottop&blast_rank=7&RID=V5JEEYS7016"",""WP_073136819.1"")"
globin family protein [Shewanella litorisediminis],Shewanella litorisediminis,NA,1173586,62.4,62.4,99%,1e-09,27.33,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_203325363.1?report=genbank&log$=prottop&blast_rank=8&RID=V5JEEYS7016"",""WP_203325363.1"")"
globin family protein [Saccharobesus litoralis],Saccharobesus litoralis,NA,2172099,62.4,62.4,97%,1e-09,32.21,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_108601589.1?report=genbank&log$=prottop&blast_rank=9&RID=V5JEEYS7016"",""WP_108601589.1"")"
globin family protein [Roseateles agri],Roseateles agri,NA,3098619,61.6,61.6,82%,2e-09,29.84,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_320423509.1?report=genbank&log$=prottop&blast_rank=10&RID=V5JEEYS7016"",""WP_320423509.1"")"
MULTISPECIES: globin family protein [Shewanella],Shewanella,NA,22,61.6,61.6,99%,2e-09,26.67,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220066035.1?report=genbank&log$=prottop&blast_rank=11&RID=V5JEEYS7016"",""WP_220066035.1"")"
globin family protein [Chryseolinea soli],Chryseolinea soli,NA,2321403,61.2,61.2,95%,2e-09,27.08,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119752840.1?report=genbank&log$=prottop&blast_rank=12&RID=V5JEEYS7016"",""WP_119752840.1"")"
globin family protein [Zarconia navalis],Zarconia navalis,NA,2992134,62.0,62.0,88%,3e-09,31.34,186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264321749.1?report=genbank&log$=prottop&blast_rank=13&RID=V5JEEYS7016"",""WP_264321749.1"")"
globin family protein [Chryseolinea lacunae],Chryseolinea lacunae,NA,2801331,60.8,60.8,95%,4e-09,28.47,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_202007491.1?report=genbank&log$=prottop&blast_rank=14&RID=V5JEEYS7016"",""WP_202007491.1"")"
globin domain-containing protein [Pseudonocardia zijingensis],Pseudonocardia zijingensis,NA,153376,62.8,62.8,95%,7e-09,27.03,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_379589331.1?report=genbank&log$=prottop&blast_rank=15&RID=V5JEEYS7016"",""WP_379589331.1"")"
globin family protein [Enhydrobacter aerosaccus],Enhydrobacter aerosaccus,NA,225324,59.7,59.7,94%,9e-09,28.67,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085934972.1?report=genbank&log$=prottop&blast_rank=16&RID=V5JEEYS7016"",""WP_085934972.1"")"
globin family protein [Usitatibacter rugosus],Usitatibacter rugosus,NA,2732067,59.7,59.7,95%,9e-09,28.47,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_171089913.1?report=genbank&log$=prottop&blast_rank=17&RID=V5JEEYS7016"",""WP_171089913.1"")"
globin domain-containing protein [Lacibacter koreensis],Lacibacter koreensis,NA,3133423,59.7,59.7,90%,1e-08,30.43,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_340428821.1?report=genbank&log$=prottop&blast_rank=18&RID=V5JEEYS7016"",""WP_340428821.1"")"
globin family protein [Polyangium spumosum],Polyangium spumosum,NA,889282,60.8,60.8,95%,1e-08,30.14,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153818419.1?report=genbank&log$=prottop&blast_rank=19&RID=V5JEEYS7016"",""WP_153818419.1"")"
globin family protein [Rubrobacter tropicus],Rubrobacter tropicus,NA,2653851,59.3,59.3,95%,1e-08,27.59,139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_166177415.1?report=genbank&log$=prottop&blast_rank=20&RID=V5JEEYS7016"",""WP_166177415.1"")"
globin domain-containing protein [Eisenibacter elegans],Eisenibacter elegans,NA,997,59.3,59.3,95%,1e-08,28.28,141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_051296358.1?report=genbank&log$=prottop&blast_rank=21&RID=V5JEEYS7016"",""WP_051296358.1"")"
globin family protein [Spirosoma rhododendri],Spirosoma rhododendri,NA,2728024,59.3,59.3,92%,2e-08,25.71,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169549317.1?report=genbank&log$=prottop&blast_rank=22&RID=V5JEEYS7016"",""WP_169549317.1"")"
globin family protein [Hartmannibacter diazotrophicus],Hartmannibacter diazotrophicus,NA,1482074,59.3,59.3,95%,2e-08,27.78,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099555360.1?report=genbank&log$=prottop&blast_rank=23&RID=V5JEEYS7016"",""WP_099555360.1"")"
