# blastp
# Iteration: 0
# Query: NP_001275068.1 hemoglobin [Solanum tuberosum]
# RID: jpj781016
# Database: refseq_select_prot
query_accesson	subject_accessionr	percent_identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score	percent_positives
JPJ_001275068.1	WP_020528821.1	30.216	139	82	2	5	143	2	125	2.75e-12	68.9	51.08
JPJ_001275068.1	WP_196988262.1	29.927	137	81	3	4	140	1	122	1.11e-11	67.4	48.91
JPJ_001275068.1	WP_119050539.1	34.965	143	72	5	11	149	8	133	2.33e-11	66.6	51.05
JPJ_001275068.1	WP_340435669.1	33.058	121	66	3	27	147	25	130	2.01e-10	64.3	51.24
JPJ_001275068.1	WP_182804186.1	31.884	138	78	4	11	147	8	130	2.07e-10	64.3	52.17
JPJ_001275068.1	WP_011761584.1	26.667	150	95	2	3	152	2	136	4.94e-10	63.2	46.00
JPJ_001275068.1	WP_073136819.1	28.472	144	88	3	4	147	1	129	6.80e-10	62.8	49.31
JPJ_001275068.1	WP_203325363.1	27.333	150	94	2	3	152	2	136	1.04e-09	62.4	46.00
JPJ_001275068.1	WP_108601589.1	32.215	149	83	3	6	152	3	135	1.31e-09	62.4	48.32
JPJ_001275068.1	WP_320423509.1	29.839	124	71	3	27	150	27	134	1.87e-09	61.6	49.19
JPJ_001275068.1	WP_220066035.1	26.667	150	95	2	3	152	2	136	2.02e-09	61.6	45.33
JPJ_001275068.1	WP_119752840.1	27.083	144	90	3	4	147	1	129	2.20e-09	61.2	50.00
JPJ_001275068.1	WP_264321749.1	31.343	134	78	4	11	144	7	126	3.14e-09	62.0	50.00
JPJ_001275068.1	WP_202007491.1	28.472	144	88	3	4	147	1	129	3.58e-09	60.8	47.22
JPJ_001275068.1	WP_379589331.1	27.027	148	88	4	5	149	21	151	7.00e-09	62.8	49.32
JPJ_001275068.1	WP_085934972.1	28.671	143	87	3	5	147	2	129	8.89e-09	59.7	46.85
JPJ_001275068.1	WP_171089913.1	28.472	144	88	3	5	148	2	130	9.10e-09	59.7	47.22
JPJ_001275068.1	WP_340428821.1	30.435	138	80	4	11	147	8	130	1.07e-08	59.7	50.72
JPJ_001275068.1	WP_153818419.1	30.137	146	85	3	4	148	1	130	1.08e-08	60.8	47.26
JPJ_001275068.1	WP_166177415.1	27.586	145	91	4	4	148	3	133	1.24e-08	59.3	49.66
JPJ_001275068.1	WP_051296358.1	28.276	145	89	4	4	148	6	135	1.36e-08	59.3	48.28
JPJ_001275068.1	WP_169549317.1	25.714	140	89	4	8	147	5	129	1.58e-08	59.3	47.14
JPJ_001275068.1	WP_099555360.1	27.778	144	89	3	5	148	2	130	1.83e-08	59.3	49.31
JPJ_001275068.1	WP_194116495.1	29.252	147	87	4	3	148	2	132	2.12e-08	58.9	46.94
JPJ_001275068.1	WP_038090244.1	28.889	135	82	5	11	145	7	127	2.26e-08	58.5	53.33
JPJ_001275068.1	WP_092860000.1	26.897	145	91	2	5	149	2	131	2.42e-08	58.9	46.21
JPJ_001275068.1	WP_277707445.1	30.833	120	68	3	30	149	331	435	2.47e-08	61.2	49.17
JPJ_001275068.1	WP_413262481.1	28.889	135	82	4	11	145	7	127	2.82e-08	58.5	50.37
JPJ_001275068.1	WP_129131827.1	27.536	138	84	4	11	147	8	130	3.00e-08	58.5	50.00
JPJ_001275068.1	WP_214507410.1	26.667	150	95	2	3	152	2	136	3.09e-08	58.5	43.33
JPJ_001275068.1	WP_290247534.1	27.152	151	95	2	2	152	13	148	3.41e-08	58.5	43.71
JPJ_001275068.1	WP_020040424.1	29.412	136	81	3	15	150	13	133	3.55e-08	58.2	48.53
JPJ_001275068.1	WP_039724586.1	34.559	136	75	6	5	140	3	124	3.57e-08	60.5	52.94
JPJ_001275068.1	WP_039724586.1	30.769	130	76	4	11	140	161	276	2.54e-06	55.5	49.23
JPJ_001275068.1	WP_345606169.1	25.000	140	89	3	11	149	27	151	4.35e-08	60.5	46.43
JPJ_001275068.1	WP_462481457.1	28.188	149	90	4	1	148	5	137	4.64e-08	58.2	46.98
JPJ_001275068.1	WP_460470542.1	32.394	142	81	6	8	148	5	132	5.30e-08	57.8	52.11
JPJ_001275068.1	WP_066311287.1	29.167	120	74	2	30	149	27	135	5.56e-08	57.8	47.50
JPJ_001275068.1	WP_025410451.1	26.619	139	87	3	10	148	7	130	7.51e-08	57.4	46.76
JPJ_001275068.1	WP_378019975.1	28.873	142	84	4	10	150	199	324	7.82e-08	59.7	49.30
JPJ_001275068.1	WP_104813816.1	31.655	139	76	5	14	152	317	436	8.33e-08	59.7	51.08
JPJ_001275068.1	WP_200282162.1	24.113	141	92	2	4	144	1	126	8.46e-08	57.0	43.97
JPJ_001275068.1	WP_460984960.1	30.252	119	69	4	27	145	25	129	8.81e-08	57.4	50.42
JPJ_001275068.1	WP_460905770.1	26.761	142	88	4	11	151	9	135	9.21e-08	57.0	50.00
JPJ_001275068.1	WP_119050538.1	29.752	121	71	3	27	147	25	131	9.46e-08	57.4	48.76
JPJ_001275068.1	WP_173065679.1	26.207	145	92	2	4	148	1	130	9.89e-08	57.0	46.21
